time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2016-01-07T14:31:57.430Z,33.5871658,-116.7591629,5.97,1.03,ml,15,83,0.007702,0.23,ci,ci37510896,2016-01-07T14:34:29.942Z,"9km WNW of Anza, California",earthquake
2016-01-07T14:27:11.120Z,32.9771652,-116.4209976,6.46,1.5,ml,26,108,0.08494,0.19,ci,ci37510888,2016-01-07T14:29:35.100Z,"20km NNE of Pine Valley, California",earthquake
2016-01-07T14:08:10.560Z,37.9516678,-122.116333,8.24,1.43,md,11,87,0.08682,0.04,nc,nc72574600,2016-01-07T14:38:03.817Z,"4km W of Pleasant Hill, California",earthquake
2016-01-07T13:55:48.030Z,19.4031658,-155.4875031,2.98,1.73,md,44,42,0.04212,0.16,hv,hv61145091,2016-01-07T13:59:11.910Z,"21km N of Pahala, Hawaii",earthquake
2016-01-07T13:40:59.580Z,36.4623,-98.6792,5,3.6,mb_lg,,88,0.246,0.59,us,us10004c3g,2016-01-07T14:24:45.563Z,"27km NW of Fairview, Oklahoma",earthquake
2016-01-07T13:15:51.790Z,36.9516678,-121.3916702,3.69,1.29,md,12,95,0.03251,0.03,nc,nc72574595,2016-01-07T13:30:04.625Z,"11km N of Hollister, California",earthquake
2016-01-07T13:05:35.000Z,62.9548,-150.149,85.1,1.7,ml,,,,0.69,ak,ak12443393,2016-01-07T13:18:19.089Z,"70km N of Talkeetna, Alaska",earthquake
2016-01-07T12:59:08.100Z,19.1338,-64.717,24,3.3,Md,8,284.4,0.71865223,0.18,pr,pr16007022,2016-01-07T13:15:46.595Z,"80km N of Road Town, British Virgin Islands",earthquake
2016-01-07T12:17:22.320Z,33.2099991,-116.6983337,8.64,1.8,ml,29,35,0.04416,0.16,ci,ci37510872,2016-01-07T12:27:49.550Z,"7km ESE of Lake Henshaw, California",earthquake
2016-01-07T11:24:53.280Z,38.8224983,-122.8431702,1.83,1.55,md,20,81,0.006388,0.02,nc,nc72574560,2016-01-07T13:50:04.674Z,"9km NW of The Geysers, California",earthquake
2016-01-07T11:22:00.590Z,36.4653,-98.7234,4.04,2.6,mb_lg,,92,0.24,0.53,us,us10004c2x,2016-01-07T14:14:03.242Z,"30km NW of Fairview, Oklahoma",earthquake
2016-01-07T11:13:17.620Z,36.4869,-98.7081,2.48,2.8,mb_lg,,95,0.22,0.37,us,us10004c2v,2016-01-07T13:56:01.236Z,"31km NW of Fairview, Oklahoma",earthquake
2016-01-07T10:56:02.340Z,19.9855003,-155.5438385,40.65,2.84,md,59,173,0.151,0.22,hv,hv61145061,2016-01-07T11:00:34.748Z,"13km SW of Honoka'a, Hawaii",earthquake
2016-01-07T10:50:31.860Z,-1.0045,-15.9845,10,5.1,mb,,89,13.472,1.29,us,us10004c2p,2016-01-07T11:13:29.941Z,"North of Ascension Island",earthquake
2016-01-07T10:48:41.370Z,36.4559,-98.7371,5.05,3.5,mb_lg,,108,0.226,0.5,us,us10004c2m,2016-01-07T14:27:40.368Z,"31km NW of Fairview, Oklahoma",earthquake
2016-01-07T10:48:17.500Z,36.4739,-98.6991,4.04,3,mb_lg,,92,0.233,0.59,us,us10004c2g,2016-01-07T12:32:40.064Z,"30km NW of Fairview, Oklahoma",earthquake
2016-01-07T10:38:48.200Z,19.2439,-64.624,13,3.4,Md,10,291.6,0.82195848,0.21,pr,pr16007012,2016-01-07T11:08:14.581Z,"91km N of Road Town, British Virgin Islands",earthquake
2016-01-07T10:32:43.650Z,40.2944984,-124.470665,19.36,2.71,ml,18,258,0.1451,0.08,nc,nc72574555,2016-01-07T14:17:18.412Z,"35km SSW of Ferndale, California",earthquake
